x,y,T
0.000000,0.000000,1.000000
0.052632,0.000000,0.961608
0.105263,0.000000,0.921677
0.157895,0.000000,0.878800
0.210526,0.000000,0.831952
0.263158,0.000000,0.780504
0.315789,0.000000,0.724328
0.368421,0.000000,0.663804
0.421053,0.000000,0.599787
0.473684,0.000000,0.533510
0.526316,0.000000,0.466452
0.578947,0.000000,0.400176
0.631579,0.000000,0.336161
0.684211,0.000000,0.275640
0.736842,0.000000,0.219468
0.789474,0.000000,0.168030
0.842105,0.000000,0.121196
0.894737,0.000000,0.078338
0.947368,0.000000,0.038398
1.000000,0.000000,0.000000
0.000000,0.052632,1.000000
0.052632,0.052632,0.961608
0.105263,0.052632,0.921677
0.157895,0.052632,0.878800
0.210526,0.052632,0.831952
0.263158,0.052632,0.780504
0.315789,0.052632,0.724328
0.368421,0.052632,0.663804
0.421053,0.052632,0.599787
0.473684,0.052632,0.533510
0.526316,0.052632,0.466452
0.578947,0.052632,0.400176
0.631579,0.052632,0.336161
0.684211,0.052632,0.275640
0.736842,0.052632,0.219468
0.789474,0.052632,0.168030
0.842105,0.052632,0.121196
0.894737,0.052632,0.078338
0.947368,0.052632,0.038398
1.000000,0.052632,0.000000
0.000000,0.105263,1.000000
0.052632,0.105263,0.962156
0.105263,0.105263,0.922714
0.157895,0.105263,0.880213
0.210526,0.105263,0.833589
0.263158,0.105263,0.782188
0.315789,0.105263,0.725875
0.368421,0.105263,0.665048
0.421053,0.105263,0.600593
0.473684,0.105263,0.533791
0.526316,0.105263,0.466178
0.578947,0.105263,0.399376
0.631579,0.105263,0.334923
0.684211,0.105263,0.274098
0.736842,0.105263,0.217790
0.789474,0.105263,0.166397
0.842105,0.105263,0.119786
0.894737,0.105263,0.077304
0.947368,0.105263,0.037851
1.000000,0.105263,0.000000
0.000000,0.157895,1.000000
0.052632,0.157895,0.962890
0.105263,0.157895,0.924102
0.157895,0.157895,0.882105
0.210526,0.157895,0.835779
0.263158,0.157895,0.784439
0.315789,0.157895,0.727944
0.368421,0.157895,0.666711
0.421053,0.157895,0.601669
0.473684,0.157895,0.534165
0.526316,0.157895,0.465808
0.578947,0.157895,0.398304
0.631579,0.157895,0.333264
0.684211,0.157895,0.272032
0.736842,0.157895,0.215542
0.789474,0.157895,0.164210
0.842105,0.157895,0.117897
0.894737,0.157895,0.075918
0.947368,0.157895,0.037118
1.000000,0.157895,0.000000
0.000000,0.210526,1.000000
0.052632,0.210526,0.963283
0.105263,0.210526,0.924844
0.157895,0.210526,0.883117
0.210526,0.210526,0.836951
0.263158,0.210526,0.785645
0.315789,0.210526,0.729052
0.368421,0.210526,0.667601
0.421053,0.210526,0.602246
0.473684,0.210526,0.534365
0.526316,0.210526,0.465611
0.578947,0.210526,0.397730
0.631579,0.210526,0.332376
0.684211,0.210526,0.270927
0.736842,0.210526,0.214338
0.789474,0.210526,0.163039
0.842105,0.210526,0.116886
0.894737,0.210526,0.075176
0.947368,0.210526,0.036726
1.000000,0.210526,0.000000
0.000000,0.263158,1.000000
0.052632,0.263158,0.962833
0.105263,0.263158,0.923993
0.157895,0.263158,0.881957
0.210526,0.263158,0.835608
0.263158,0.263158,0.784264
0.315789,0.263158,0.727784
0.368421,0.263158,0.666582
0.421053,0.263158,0.601587
0.473684,0.263158,0.534138
0.526316,0.263158,0.465840
0.578947,0.263158,0.398391
0.631579,0.263158,0.333397
0.684211,0.263158,0.272197
0.736842,0.263158,0.215720
0.789474,0.263158,0.164383
0.842105,0.263158,0.118047
0.894737,0.263158,0.076027
0.947368,0.263158,0.037176
1.000000,0.263158,0.000000
0.000000,0.315789,1.000000
0.052632,0.315789,0.961219
