x,time,dudx
0.020408,0.001000,-1.039817
0.040816,0.001000,-1.038833
0.061224,0.001000,-1.037212
0.081633,0.001000,-1.034980
0.102041,0.001000,-1.032174
0.122449,0.001000,-1.028839
0.142857,0.001000,-1.025031
0.163265,0.001000,-1.020812
0.183673,0.001000,-1.016251
0.204082,0.001000,-1.011423
0.224490,0.001000,-1.006407
0.244898,0.001000,-1.001287
0.265306,0.001000,-0.996145
0.285714,0.001000,-0.991067
0.306122,0.001000,-0.986135
0.326531,0.001000,-0.981431
0.346939,0.001000,-0.977032
0.367347,0.001000,-0.973010
0.387755,0.001000,-0.969431
0.408163,0.001000,-0.966354
0.428571,0.001000,-0.963829
0.448980,0.001000,-0.961899
0.469388,0.001000,-0.960594
0.489796,0.001000,-0.959936
0.510204,0.001000,-0.959936
0.530612,0.001000,-0.960594
0.551020,0.001000,-0.961899
0.571429,0.001000,-0.963829
0.591837,0.001000,-0.966354
0.612245,0.001000,-0.969431
0.632653,0.001000,-0.973010
0.653061,0.001000,-0.977032
0.673469,0.001000,-0.981431
0.693878,0.001000,-0.986135
0.714286,0.001000,-0.991067
0.734694,0.001000,-0.996145
0.755102,0.001000,-1.001287
0.775510,0.001000,-1.006407
0.795918,0.001000,-1.011423
0.816327,0.001000,-1.016251
0.836735,0.001000,-1.020812
0.857143,0.001000,-1.025031
0.877551,0.001000,-1.028839
0.897959,0.001000,-1.032174
0.918367,0.001000,-1.034980
0.938776,0.001000,-1.037212
0.959184,0.001000,-1.038833
0.979592,0.001000,-1.039817
0.020408,0.002000,-1.036908
0.040816,0.002000,-1.036116
0.061224,0.002000,-1.034458
0.081633,0.002000,-1.032393
0.102041,0.002000,-1.029779
0.122449,0.002000,-1.026688
0.142857,0.002000,-1.023359
0.163265,0.002000,-1.019372
0.183673,0.002000,-1.014935
0.204082,0.002000,-1.010368
0.224490,0.002000,-1.005779
0.244898,0.002000,-1.001154
0.265306,0.002000,-0.996489
0.285714,0.002000,-0.991831
0.306122,0.002000,-0.987266
0.326531,0.002000,-0.982887
0.346939,0.002000,-0.978782
0.367347,0.002000,-0.975029
0.387755,0.002000,-0.971693
0.408163,0.002000,-0.968827
0.428571,0.002000,-0.966479
0.448980,0.002000,-0.964684
0.469388,0.002000,-0.963471
0.489796,0.002000,-0.962860
0.510204,0.002000,-0.962859
0.530612,0.002000,-0.963468
0.551020,0.002000,-0.964677
0.571429,0.002000,-0.966467
0.591837,0.002000,-0.968807
0.612245,0.002000,-0.971659
0.632653,0.002000,-0.974976
0.653061,0.002000,-0.978704
0.673469,0.002000,-0.982781
0.693878,0.002000,-0.987142
0.714286,0.002000,-0.991713
0.734694,0.002000,-0.996420
0.755102,0.002000,-1.001186
0.775510,0.002000,-1.005932
0.795918,0.002000,-1.010581
0.816327,0.002000,-1.015056
0.836735,0.002000,-1.019284
0.857143,0.002000,-1.023195
0.877551,0.002000,-1.026726
0.897959,0.002000,-1.029817
0.918367,0.002000,-1.032419
0.938776,0.002000,-1.034488
0.959184,0.002000,-1.035991
0.979592,0.002000,-1.036903
0.020408,0.003000,-1.034209
0.040816,0.003000,-1.033504
0.061224,0.003000,-1.031934
0.081633,0.003000,-1.030012
0.102041,0.003000,-1.027586
0.122449,0.003000,-1.024732
0.142857,0.003000,-1.021689
0.163265,0.003000,-1.017960
0.183673,0.003000,-1.013771
0.204082,0.003000,-1.009497
0.224490,0.003000,-1.005264
0.244898,0.003000,-1.001036
0.265306,0.003000,-0.996773
0.285714,0.003000,-0.992496
0.306122,0.003000,-0.988281
0.326531,0.003000,-0.984219
0.346939,0.003000,-0.980402
0.367347,0.003000,-0.976906
0.387755,0.003000,-0.973797
0.408163,0.003000,-0.971128
0.428571,0.003000,-0.968941
0.448980,0.003000,-0.967270
0.469388,0.003000,-0.966142
0.489796,0.003000,-0.965572
0.510204,0.003000,-0.965569
0.530612,0.003000,-0.966133
0.551020,0.003000,-0.967253
0.571429,0.003000,-0.968911
0.591837,0.003000,-0.971080
0.612245,0.003000,-0.973723
0.632653,0.003000,-0.976798
0.653061,0.003000,-0.980253
0.673469,0.003000,-0.984033
0.693878,0.003000,-0.988074
0.714286,0.003000,-0.992311
0.734694,0.003000,-0.996674
0.755102,0.003000,-1.001092
0.775510,0.003000,-1.005491
0.795918,0.003000,-1.009800
0.816327,0.003000,-1.013949
0.836735,0.003000,-1.017868
0.857143,0.003000,-1.021494
0.877551,0.003000,-1.024766
