x,y,T
0.000000,0.000000,1.000000
0.020408,0.000000,0.981227
0.040816,0.000000,0.962427
0.061224,0.000000,0.943574
0.081633,0.000000,0.924643
0.102041,0.000000,0.905608
0.122449,0.000000,0.886447
0.142857,0.000000,0.867141
0.163265,0.000000,0.847670
0.183673,0.000000,0.828020
0.204082,0.000000,0.808178
0.224490,0.000000,0.788134
0.244898,0.000000,0.767883
0.265306,0.000000,0.747423
0.285714,0.000000,0.726753
0.306122,0.000000,0.705878
0.326531,0.000000,0.684807
0.346939,0.000000,0.663549
0.367347,0.000000,0.642120
0.387755,0.000000,0.620534
0.408163,0.000000,0.598813
0.428571,0.000000,0.576977
0.448980,0.000000,0.555050
0.469388,0.000000,0.533057
0.489796,0.000000,0.511023
0.510204,0.000000,0.488977
0.530612,0.000000,0.466943
0.551020,0.000000,0.444950
0.571429,0.000000,0.423023
0.591837,0.000000,0.401187
0.612245,0.000000,0.379466
0.632653,0.000000,0.357880
0.653061,0.000000,0.336451
0.673469,0.000000,0.315193
0.693878,0.000000,0.294122
0.714286,0.000000,0.273247
0.734694,0.000000,0.252577
0.755102,0.000000,0.232117
0.775510,0.000000,0.211866
0.795918,0.000000,0.191822
0.816327,0.000000,0.171980
0.836735,0.000000,0.152330
0.857143,0.000000,0.132859
0.877551,0.000000,0.113553
0.897959,0.000000,0.094392
0.918367,0.000000,0.075357
0.938776,0.000000,0.056426
0.959184,0.000000,0.037573
0.979592,0.000000,0.018773
1.000000,0.000000,0.000000
0.000000,0.020408,1.000000
0.020408,0.020408,0.981227
0.040816,0.020408,0.962427
0.061224,0.020408,0.943574
0.081633,0.020408,0.924643
0.102041,0.020408,0.905608
0.122449,0.020408,0.886447
0.142857,0.020408,0.867141
0.163265,0.020408,0.847670
0.183673,0.020408,0.828020
0.204082,0.020408,0.808178
0.224490,0.020408,0.788134
0.244898,0.020408,0.767883
0.265306,0.020408,0.747423
0.285714,0.020408,0.726753
0.306122,0.020408,0.705878
0.326531,0.020408,0.684807
0.346939,0.020408,0.663549
0.367347,0.020408,0.642120
0.387755,0.020408,0.620534
0.408163,0.020408,0.598813
0.428571,0.020408,0.576977
0.448980,0.020408,0.555050
0.469388,0.020408,0.533057
0.489796,0.020408,0.511023
0.510204,0.020408,0.488977
0.530612,0.020408,0.466943
0.551020,0.020408,0.444950
0.571429,0.020408,0.423023
0.591837,0.020408,0.401187
0.612245,0.020408,0.379466
0.632653,0.020408,0.357880
0.653061,0.020408,0.336451
0.673469,0.020408,0.315193
0.693878,0.020408,0.294122
0.714286,0.020408,0.273247
0.734694,0.020408,0.252577
0.755102,0.020408,0.232117
0.775510,0.020408,0.211866
0.795918,0.020408,0.191822
0.816327,0.020408,0.171980
0.836735,0.020408,0.152330
0.857143,0.020408,0.132859
0.877551,0.020408,0.113553
0.897959,0.020408,0.094392
0.918367,0.020408,0.075357
0.938776,0.020408,0.056426
0.959184,0.020408,0.037573
0.979592,0.020408,0.018773
1.000000,0.020408,0.000000
0.000000,0.040816,1.000000
0.020408,0.040816,0.982835
0.040816,0.040816,0.965618
0.061224,0.040816,0.948294
0.081633,0.040816,0.930815
0.102041,0.040816,0.913131
0.122449,0.040816,0.895197
0.142857,0.040816,0.876974
0.163265,0.040816,0.858426
0.183673,0.040816,0.839521
0.204082,0.040816,0.820235
0.224490,0.040816,0.800551
0.244898,0.040816,0.780454
0.265306,0.040816,0.759942
