x,y,T
0.000000,0.000000,1.000000
0.005025,0.000000,0.994997
0.010050,0.000000,0.989999
0.015075,0.000000,0.984995
0.020101,0.000000,0.979993
0.025126,0.000000,0.974992
0.030151,0.000000,0.969990
0.035176,0.000000,0.964990
0.040201,0.000000,0.959986
0.045226,0.000000,0.954986
0.050251,0.000000,0.949981
0.055276,0.000000,0.944980
0.060302,0.000000,0.939978
0.065327,0.000000,0.934973
0.070352,0.000000,0.929971
0.075377,0.000000,0.924968
0.080402,0.000000,0.919963
0.085427,0.000000,0.914959
0.090452,0.000000,0.909955
0.095477,0.000000,0.904949
0.100503,0.000000,0.899944
0.105528,0.000000,0.894938
0.110553,0.000000,0.889931
0.115578,0.000000,0.884925
0.120603,0.000000,0.879919
0.125628,0.000000,0.874912
0.130653,0.000000,0.869903
0.135678,0.000000,0.864892
0.140704,0.000000,0.859883
0.145729,0.000000,0.854875
0.150754,0.000000,0.849866
0.155779,0.000000,0.844855
0.160804,0.000000,0.839842
0.165829,0.000000,0.834827
0.170854,0.000000,0.829814
0.175879,0.000000,0.824802
0.180905,0.000000,0.819790
0.185930,0.000000,0.814777
0.190955,0.000000,0.809760
0.195980,0.000000,0.804741
0.201005,0.000000,0.799722
0.206030,0.000000,0.794702
0.211055,0.000000,0.789684
0.216080,0.000000,0.784666
0.221106,0.000000,0.779648
0.226131,0.000000,0.774628
0.231156,0.000000,0.769604
0.236181,0.000000,0.764579
0.241206,0.000000,0.759551
0.246231,0.000000,0.754522
0.251256,0.000000,0.749493
0.256281,0.000000,0.744464
0.261307,0.000000,0.739436
0.266332,0.000000,0.734407
0.271357,0.000000,0.729376
0.276382,0.000000,0.724344
0.281407,0.000000,0.719308
0.286432,0.000000,0.714270
0.291457,0.000000,0.709228
0.296482,0.000000,0.704182
0.301508,0.000000,0.699133
0.306533,0.000000,0.694083
0.311558,0.000000,0.689030
0.316583,0.000000,0.683976
0.321608,0.000000,0.678922
0.326633,0.000000,0.673867
0.331658,0.000000,0.668812
0.336683,0.000000,0.663757
0.341709,0.000000,0.658702
0.346734,0.000000,0.653648
0.351759,0.000000,0.648593
0.356784,0.000000,0.643539
0.361809,0.000000,0.638486
0.366834,0.000000,0.633432
0.371859,0.000000,0.628378
0.376884,0.000000,0.623325
0.381910,0.000000,0.618271
0.386935,0.000000,0.613218
0.391960,0.000000,0.608165
0.396985,0.000000,0.603111
0.402010,0.000000,0.598058
0.407035,0.000000,0.593005
0.412060,0.000000,0.587951
0.417085,0.000000,0.582898
0.422111,0.000000,0.577845
